Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Lithuania,,1,1976,
Luxembourg,-10,1,1976,0
Netherlands,3.6018110000000001,1,1976,3.601811
North Macedonia,,1,1976,
Norway,-10,1,1976,0
Poland,-10,1,1976,0
Portugal,-10,1,1976,0
Romania,-10,1,1976,0
Slovakia,0.44194,1,1976,0.44194
Slovenia,,1,1976,
Spain,7.5571739999999998,1,1976,7.557174
Sweden,15.993808599999999,1,1976,15.9938086
Switzerland,7.8974678000000003,1,1976,7.8974678
Turkey,-10,1,1976,0
Ukraine,-10,1,1976,0
United Kingdom,36.159530799999999,1,1976,36.1595308
Azerbaijan,,1,1976,
Belarus,,1,1976,
Kazakhstan,,1,1976,
Russian Federation,,1,1976,
Turkmenistan,,1,1976,
USSR,38.152680199999999,1,1976,38.1526802
Uzbekistan,,1,1976,
Iran,-10,1,1976,0
Iraq,-10,1,1976,0
Israel,-10,1,1976,0
Kuwait,-10,1,1976,0
Oman,-10,1,1976,0
Qatar,-10,1,1976,0
Saudi Arabia,-10,1,1976,0
United Arab Emirates,-10,1,1976,0
Algeria,-10,1,1976,0
Egypt,-10,1,1976,0
Morocco,-10,1,1976,0
South Africa,-10,1,1976,0
Eastern Africa,-10,1,1976,0
Australia,-10,1,1976,0
Bangladesh,-10,1,1976,0
China,-10,1,1976,0
Hong Kong SAR,-10,1,1976,0
India,2.6560594000000002,1,1976,2.6560594
Indonesia,-10,1,1976,0
Japan,36.7517304,1,1976,36.7517304
Malaysia,-10,1,1976,0
New Zealand,-10,1,1976,0
Pakistan,0.51706980000000002,1,1976,0.5170698
Philippines,-10,1,1976,0
Singapore,-10,1,1976,0
South Korea,-10,1,1976,0
Sri Lanka,-10,1,1976,0
Taiwan,-10,1,1976,0
Thailand,-10,1,1976,0
Vietnam,-10,1,1976,0
Canada,26.763886400000001,1,1977,26.7638864
Mexico,-10,1,1977,0
US,264.08766630000002,1,1977,264.0876663
Argentina,1.6175003999999999,1,1977,1.6175004
Brazil,-10,1,1977,0
Chile,-10,1,1977,0
Colombia,-10,1,1977,0
Ecuador,-10,1,1977,0
Peru,-10,1,1977,0
Trinidad and Tobago,-10,1,1977,0
Venezuela,-10,1,1977,0
Austria,-10,1,1977,0
Belgium,11.939,1,1977,11.939
Bulgaria,5.8866408000000003,1,1977,5.8866408
Croatia,,1,1977,
Cyprus,-10,1,1977,0
Czech Republic,-10,1,1977,0
Denmark,-10,1,1977,0
Estonia,,1,1977,
Finland,2.6421052629999999,1,1977,2.642105263
France,17.940999999999999,1,1977,17.941
Germany,41.263937800000001,1,1977,41.2639378
Greece,-10,1,1977,0
Hungary,-10,1,1977,0
Iceland,-10,1,1977,0
Ireland,-10,1,1977,0
Italy,3.3720021999999998,1,1977,3.3720022
Latvia,,1,1977,
Lithuania,,1,1977,
Luxembourg,-10,1,1977,0
Netherlands,3.7078766000000001,1,1977,3.7078766
North Macedonia,,1,1977,
Norway,-10,1,1977,0
Poland,-10,1,1977,0
Portugal,-10,1,1977,0
Romania,-10,1,1977,0
Slovakia,0.110485,1,1977,0.110485
Slovenia,,1,1977,
Spain,6.5230344000000002,1,1977,6.5230344
Sweden,19.918235800000001,1,1977,19.9182358
Switzerland,8.0698243999999999,1,1977,8.0698244
Turkey,-10,1,1977,0
Ukraine,-10,1,1977,0
United Kingdom,40.026505800000002,1,1977,40.0265058
Azerbaijan,,1,1977,
Belarus,,1,1977,
Kazakhstan,,1,1977,
Russian Federation,,1,1977,
Turkmenistan,,1,1977,
USSR,51.030811800000002,1,1977,51.0308118
Uzbekistan,,1,1977,
Iran,-10,1,1977,0
Iraq,-10,1,1977,0
Israel,-10,1,1977,0
Kuwait,-10,1,1977,0
Oman,-10,1,1977,0
Qatar,-10,1,1977,0
Saudi Arabia,-10,1,1977,0
United Arab Emirates,-10,1,1977,0
Algeria,-10,1,1977,0
Egypt,-10,1,1977,0
Morocco,-10,1,1977,0
South Africa,-10,1,1977,0
Eastern Africa,-10,1,1977,0
Australia,-10,1,1977,0
Bangladesh,-10,1,1977,0
China,-10,1,1977,0
Hong Kong SAR,-10,1,1977,0
India,1.8517285999999999,1,1977,1.8517286
Indonesia,-10,1,1977,0
Japan,28.1692556,1,1977,28.1692556
Malaysia,-10,1,1977,0
New Zealand,-10,1,1977,0
Pakistan,0.32703559999999998,1,1977,0.3270356
Philippines,-10,1,1977,0
Singapore,-10,1,1977,0
South Korea,0.071466000000000002,1,1977,0.071466
Sri Lanka,-10,1,1977,0
Taiwan,0.10164620000000001,1,1977,0.1016462
Thailand,-10,1,1977,0
Vietnam,-10,1,1977,0
Canada,32.933368799999997,1,1978,32.9333688
Mexico,-10,1,1978,0
US,290.95060000000001,1,1978,290.9506
Argentina,2.8637712,1,1978,2.8637712
Brazil,-10,1,1978,0
Chile,-10,1,1978,0
Colombia,-10,1,1978,0
Ecuador,-10,1,1978,0
Peru,-10,1,1978,0
Trinidad and Tobago,-10,1,1978,0
Venezuela,-10,1,1978,0
Austria,-10,1,1978,0
Belgium,12.513,1,1978,12.513
Bulgaria,5.9131571999999997,1,1978,5.9131572
Croatia,,1,1978,
Cyprus,-10,1,1978,0
Czech Republic,-10,1,1978,0
Denmark,-10,1,1978,0
Estonia,,1,1978,
Finland,3.2410526320000002,1,1978,3.241052632
France,30.452000000000002,1,1978,30.452
Germany,43.880222600000003,1,1978,43.8802226
Greece,-10,1,1978,0
Hungary,-10,1,1978,0
Iceland,-10,1,1978,0
Ireland,-10,1,1978,0
Italy,4.4282387999999999,1,1978,4.4282388
Latvia,,1,1978,
Lithuania,,1,1978,
Luxembourg,-10,1,1978,0
Netherlands,3.5487782000000001,1,1978,3.5487782
North Macedonia,,1,1978,
Norway,-10,1,1978,0
Poland,-10,1,1978,0
Portugal,-10,1,1978,0
Romania,-10,1,1978,0
Slovakia,0.017677600000000002,1,1978,0.0176776
Slovenia,,1,1978,
Spain,7.6278844000000001,1,1978,7.6278844
Sweden,23.785210800000002,1,1978,23.7852108
Switzerland,7.9991139999999996,1,1978,7.999114
Turkey,-10,1,1978,0
Ukraine,-10,1,1978,0
United Kingdom,37.2290256,1,1978,37.2290256
Azerbaijan,,1,1978,
Belarus,,1,1978,
Kazakhstan,,1,1978,
Russian Federation,,1,1978,
Turkmenistan,,1,1978,
USSR,52.462697400000003,1,1978,52.4626974
Uzbekistan,,1,1978,
Iran,-10,1,1978,0
Iraq,-10,1,1978,0
Israel,-10,1,1978,0
Kuwait,-10,1,1978,0
Oman,-10,1,1978,0
Qatar,-10,1,1978,0
Saudi Arabia,-10,1,1978,0
United Arab Emirates,-10,1,1978,0
Algeria,-10,1,1978,0
Egypt,-10,1,1978,0
Morocco,-10,1,1978,0
South Africa,-10,1,1978,0
Eastern Africa,-10,1,1978,0
Australia,-10,1,1978,0
Bangladesh,-10,1,1978,0
China,-10,1,1978,0
Hong Kong SAR,-10,1,1978,0
India,2.2627328000000002,1,1978,2.2627328
Indonesia,-10,1,1978,0
Japan,52.042854400000003,1,1978,52.0428544
Malaysia,-10,1,1978,0
New Zealand,-10,1,1978,0
Pakistan,0.16793720000000001,1,1978,0.1679372
Philippines,-10,1,1978,0
Singapore,-10,1,1978,0
South Korea,2.324376,1,1978,2.324376
Sri Lanka,-10,1,1978,0
Taiwan,2.6693175999999998,1,1978,2.6693176
Thailand,-10,1,1978,0
Vietnam,-10,1,1978,0
Canada,33.145499999999998,1,1979,33.1455
Mexico,-10,1,1979,0
US,268.58381370000001,1,1979,268.5838137
Argentina,2.6604787999999999,1,1979,2.6604788
Brazil,-10,1,1979,0
Chile,-10,1,1979,0
Colombia,-10,1,1979,0
Ecuador,-10,1,1979,0
Peru,-10,1,1979,0
Trinidad and Tobago,-10,1,1979,0
Venezuela,-10,1,1979,0
Austria,-10,1,1979,0
Belgium,11.407,1,1979,11.407
Bulgaria,6.1783212000000001,1,1979,6.1783212
Croatia,,1,1979,
Cyprus,-10,1,1979,0
Czech Republic,-10,1,1979,0
Denmark,-10,1,1979,0
Estonia,,1,1979,
Finland,6.6947368420000002,1,1979,6.694736842
France,39.960000000000001,1,1979,39.96
Germany,52.073790199999998,1,1979,52.0737902
Greece,-10,1,1979,0
Hungary,-10,1,1979,0
Iceland,-10,1,1979,0
Ireland,-10,1,1979,0
Italy,4.6536282,1,1979,4.6536282
Latvia,,1,1979,
Lithuania,,1,1979,
Luxembourg,-10,1,1979,0
Netherlands,3.2438395999999998,1,1979,3.2438396
North Macedonia,,1,1979,
Norway,-10,1,1979,0
Poland,-10,1,1979,0
Portugal,-10,1,1979,0
Romania,-10,1,1979,0
Slovakia,2.1478283999999999,1,1979,2.1478284
Slovenia,,1,1979,
Spain,6.6998104000000005,1,1979,6.6998104
Sweden,21.040763399999999,1,1979,21.0407634
Switzerland,9.3823861999999991,1,1979,9.3823862
Turkey,-10,1,1979,0
Ukraine,-10,1,1979,0
United Kingdom,38.311778599999997,1,1979,38.3117786
Azerbaijan,,1,1979,
Belarus,,1,1979,
Kazakhstan,,1,1979,
Russian Federation,,1,1979,
Turkmenistan,,1,1979,
USSR,59.617705999999998,1,1979,59.617706
Uzbekistan,,1,1979,
Iran,-10,1,1979,0
Iraq,-10,1,1979,0
Israel,-10,1,1979,0
Kuwait,-10,1,1979,0
Oman,-10,1,1979,0
Qatar,-10,1,1979,0
Saudi Arabia,-10,1,1979,0
United Arab Emirates,-10,1,1979,0
Algeria,-10,1,1979,0
Egypt,-10,1,1979,0
Morocco,-10,1,1979,0
South Africa,-10,1,1979,0
Eastern Africa,-10,1,1979,0
Australia,-10,1,1979,0
Bangladesh,-10,1,1979,0
China,-10,1,1979,0
Hong Kong SAR,-10,1,1979,0
India,2.3467014000000002,1,1979,2.3467014
Indonesia,-10,1,1979,0
Japan,61.951149200000003,1,1979,61.9511492
Malaysia,-10,1,1979,0
New Zealand,-10,1,1979,0
Pakistan,0.053032799999999998,1,1979,0.0530328
Philippines,-10,1,1979,0
Singapore,-10,1,1979,0
South Korea,3.151904,1,1979,3.151904
Sri Lanka,-10,1,1979,0
Taiwan,6.3285808000000001,1,1979,6.3285808
Thailand,-10,1,1979,0
Vietnam,-10,1,1979,0
Canada,35.730848999999999,1,1980,35.730849
Mexico,-10,1,1980,0
US,264.33218419999997,1,1980,264.3321842
Argentina,2.3113462,1,1980,2.3113462
Brazil,-10,1,1980,0
Chile,-10,1,1980,0
Colombia,-10,1,1980,0
Ecuador,-10,1,1980,0
Peru,-10,1,1980,0
Trinidad and Tobago,-10,1,1980,0
Venezuela,-10,1,1980,0
Austria,-10,1,1980,0
Belgium,12.548999999999999,1,1980,12.549
Bulgaria,6.1694823999999997,1,1980,6.1694824
Croatia,,1,1980,
Cyprus,-10,1,1980,0
Czech Republic,-10,1,1980,0
Denmark,-10,1,1980,0
Estonia,,1,1980,
Finland,6.9736842110000001,1,1980,6.973684211
France,61.250999999999998,1,1980,61.251
Germany,55.600471400000004,1,1980,55.6004714
Greece,-10,1,1980,0
Hungary,-10,1,1980,0
Iceland,-10,1,1980,0
Ireland,-10,1,1980,0
Italy,4.8922758000000002,1,1980,4.8922758
Latvia,,1,1980,
Lithuania,,1,1980,
Luxembourg,-10,1,1980,0
Netherlands,3.9067495999999999,1,1980,3.9067496
North Macedonia,,1,1980,
Norway,-10,1,1980,0
Poland,-10,1,1980,0
Portugal,-10,1,1980,0
Romania,-10,1,1980,0
Slovakia,4.5254656000000004,1,1980,4.5254656
Slovenia,,1,1980,
Spain,5.1883755999999996,1,1980,5.1883756
Sweden,26.494302999999999,1,1980,26.494303
Switzerland,13.647107200000001,1,1980,13.6471072
Turkey,-10,1,1980,0
Ukraine,-10,1,1980,0
United Kingdom,37.030152600000001,1,1980,37.0301526
Azerbaijan,,1,1980,
Belarus,,1,1980,
Kazakhstan,,1,1980,
Russian Federation,,1,1980,
Turkmenistan,,1,1980,
USSR,73.923303799999999,1,1980,73.9233038
Uzbekistan,,1,1980,
Iran,-10,1,1980,0
Iraq,-10,1,1980,0
Israel,-10,1,1980,0
Kuwait,-10,1,1980,0
Oman,-10,1,1980,0
Qatar,-10,1,1980,0
Saudi Arabia,-10,1,1980,0
United Arab Emirates,-10,1,1980,0
Algeria,-10,1,1980,0
Egypt,-10,1,1980,0
Morocco,-10,1,1980,0
South Africa,-10,1,1980,0
Eastern Africa,-10,1,1980,0
Australia,-10,1,1980,0
Bangladesh,-10,1,1980,0
China,-10,1,1980,0
Hong Kong SAR,-10,1,1980,0
India,2.4483476,1,1980,2.4483476
Indonesia,-10,1,1980,0
Japan,82.625102400000003,1,1980,82.6251024
Malaysia,-10,1,1980,0
New Zealand,-10,1,1980,0
Pakistan,0.0795492,1,1980,0.0795492
Philippines,-10,1,1980,0
Singapore,-10,1,1980,0
South Korea,3.4771540000000001,1,1980,3.477154
Sri Lanka,-10,1,1980,0
Taiwan,8.1979869999999995,1,1980,8.197987
Thailand,-10,1,1980,0
Vietnam,-10,1,1980,0
Canada,36.040207000000002,1,1981,36.040207
Mexico,-10,1,1981,0
US,287.02474000000001,1,1981,287.02474
Argentina,2.7842219999999998,1,1981,2.784222
Brazil,-10,1,1981,0
Chile,-10,1,1981,0
Colombia,-10,1,1981,0
Ecuador,-10,1,1981,0
Peru,-10,1,1981,0
Trinidad and Tobago,-10,1,1981,0
Venezuela,-10,1,1981,0
Austria,-10,1,1981,0
Belgium,12.859,1,1981,12.859
Bulgaria,9.1216416000000002,1,1981,9.1216416
Croatia,,1,1981,
Cyprus,-10,1,1981,0
Czech Republic,-10,1,1981,0
Denmark,-10,1,1981,0
Estonia,,1,1981,
Finland,14.5631579,1,1981,14.5631579
France,105.32599999999999,1,1981,105.326
Germany,65.544121399999995,1,1981,65.5441214
Greece,-10,1,1981,0
Hungary,-10,1,1981,0
Iceland,-10,1,1981,0
Ireland,-10,1,1981,0
Italy,5.2060532000000004,1,1981,5.2060532
Latvia,,1,1981,
Lithuania,,1,1981,
Luxembourg,-10,1,1981,0
Netherlands,3.4427126000000001,1,1981,3.4427126
North Macedonia,,1,1981,
Norway,-10,1,1981,0
Poland,-10,1,1981,0
Portugal,-10,1,1981,0
Romania,-10,1,1981,0
Slovakia,5.1309234000000004,1,1981,5.1309234
Slovenia,,1,1981,
Spain,9.5724204000000004,1,1981,9.5724204
Sweden,37.684223799999998,1,1981,37.6842238
Switzerland,14.464696200000001,1,1981,14.4646962
Turkey,-10,1,1981,0
Ukraine,-10,1,1981,0
United Kingdom,37.975904200000002,1,1981,37.9759042
Azerbaijan,,1,1981,
Belarus,,1,1981,
Kazakhstan,,1,1981,
Russian Federation,,1,1981,
Turkmenistan,,1,1981,
USSR,87.088696400000003,1,1981,87.0886964
Uzbekistan,,1,1981,
Iran,-10,1,1981,0
Iraq,-10,1,1981,0
Israel,-10,1,1981,0
Kuwait,-10,1,1981,0
Oman,-10,1,1981,0
Qatar,-10,1,1981,0
Saudi Arabia,-10,1,1981,0
United Arab Emirates,-10,1,1981,0
Algeria,-10,1,1981,0
Egypt,-10,1,1981,0
Morocco,-10,1,1981,0
South Africa,-10,1,1981,0
Eastern Africa,-10,1,1981,0
Australia,-10,1,1981,0
Bangladesh,-10,1,1981,0
China,-10,1,1981,0
Hong Kong SAR,-10,1,1981,0
India,2.4660251999999998,1,1981,2.4660252
Indonesia,-10,1,1981,0
Japan,85.617036200000001,1,1981,85.6170362
Malaysia,-10,1,1981,0
New Zealand,-10,1,1981,0
Pakistan,0.16793720000000001,1,1981,0.1679372
Philippines,-10,1,1981,0
Singapore,-10,1,1981,0
South Korea,2.897205,1,1981,2.897205
Sri Lanka,-10,1,1981,0
Taiwan,10.6684316,1,1981,10.6684316
Thailand,-10,1,1981,0
Vietnam,-10,1,1981,0
Canada,38.342714399999998,1,1982,38.3427144
Mexico,-10,1,1982,0
US,297.65605049999999,1,1982,297.6560505
Argentina,1.8605673999999999,1,1982,1.8605674
Brazil,-10,1,1982,0
Chile,-10,1,1982,0
Colombia,-10,1,1982,0
Ecuador,-10,1,1982,0
Peru,-10,1,1982,0
Trinidad and Tobago,-10,1,1982,0
Venezuela,-10,1,1982,0
Austria,-10,1,1982,0
Belgium,15.664,1,1982,15.664
Bulgaria,10.747980800000001,1,1982,10.7479808
Croatia,,1,1982,
Cyprus,-10,1,1982,0
Czech Republic,-10,1,1982,0
Denmark,-10,1,1982,0
Estonia,,1,1982,
Finland,16.65894737,1,1982,16.65894737
France,108.919,1,1982,108.919
Germany,74.440373600000001,1,1982,74.4403736
Greece,-10,1,1982,0
Hungary,0.0044194000000000004,1,1982,0.0044194
Iceland,-10,1,1982,0
Ireland,-10,1,1982,0
Italy,9.2498041999999998,1,1982,9.2498042
Latvia,,1,1982,
Lithuania,,1,1982,
Luxembourg,-10,1,1982,0
Netherlands,3.6239080000000001,1,1982,3.623908
North Macedonia,,1,1982,
Norway,-10,1,1982,0
Poland,-10,1,1982,0
Portugal,-10,1,1982,0
Romania,-10,1,1982,0
Slovakia,5.8424468000000003,1,1982,5.8424468
Slovenia,,1,1982,
Spain,8.7725089999999994,1,1982,8.772509
Sweden,39.054237800000003,1,1982,39.0542378
Switzerland,14.279081400000001,1,1982,14.2790814
Turkey,-10,1,1982,0
Ukraine,-10,1,1982,0
United Kingdom,43.981868800000001,1,1982,43.9818688
Azerbaijan,,1,1982,
Belarus,,1,1982,
Kazakhstan,,1,1982,
Russian Federation,,1,1982,
Turkmenistan,,1,1982,
USSR,100.25408899999999,1,1982,100.254089
Uzbekistan,,1,1982,
Iran,-10,1,1982,0
Iraq,-10,1,1982,0
Israel,-10,1,1982,0
Kuwait,-10,1,1982,0
Oman,-10,1,1982,0
Qatar,-10,1,1982,0
Saudi Arabia,-10,1,1982,0
United Arab Emirates,-10,1,1982,0
Algeria,-10,1,1982,0
Egypt,-10,1,1982,0
Morocco,-10,1,1982,0
South Africa,-10,1,1982,0
Eastern Africa,-10,1,1982,0
Australia,-10,1,1982,0
Bangladesh,-10,1,1982,0
China,-10,1,1982,0
Hong Kong SAR,-10,1,1982,0
India,2.1566672000000002,1,1982,2.1566672
Indonesia,-10,1,1982,0
Japan,105.53527200000001,1,1982,105.535272
Malaysia,-10,1,1982,0
New Zealand,-10,1,1982,0
Pakistan,0.20329240000000001,1,1982,0.2032924
Philippines,-10,1,1982,0
Singapore,-10,1,1982,0
South Korea,3.7772890000000001,1,1982,3.777289
Sri Lanka,-10,1,1982,0
Taiwan,13.084206999999999,1,1982,13.084207
Thailand,-10,1,1982,0
Vietnam,-10,1,1982,0
Canada,48.617819400000002,1,1983,48.6178194
Mexico,-10,1,1983,0
US,309.13380949999998,1,1983,309.1338095
Argentina,3.3675828000000001,1,1983,3.3675828
Brazil,-10,1,1983,0
Chile,-10,1,1983,0
Colombia,-10,1,1983,0
Ecuador,-10,1,1983,0
Peru,-10,1,1983,0
Trinidad and Tobago,-10,1,1983,0
Venezuela,-10,1,1983,0
Austria,-10,1,1983,0
Belgium,24.106000000000002,1,1983,24.106
Bulgaria,12.3212872,1,1983,12.3212872
Croatia,,1,1983,
Cyprus,-10,1,1983,0
Czech Republic,-10,1,1983,0
Denmark,-10,1,1983,0
Estonia,,1,1983,
Finland,17.596842110000001,1,1983,17.59684211
France,144.261,1,1983,144.261
Germany,78.073120399999993,1,1983,78.0731204
Greece,-10,1,1983,0
Hungary,2.4748640000000002,1,1983,2.474864
Iceland,-10,1,1983,0
Ireland,-10,1,1983,0
Italy,8.2333421999999992,1,1983,8.2333422
Latvia,,1,1983,
Lithuania,,1,1983,
Luxembourg,-10,1,1983,0
Netherlands,3.3322276,1,1983,3.3322276
North Macedonia,,1,1983,
Norway,-10,1,1983,0
Poland,-10,1,1983,0
Portugal,-10,1,1983,0
Romania,-10,1,1983,0
Slovakia,6.1518047999999999,1,1983,6.1518048
Slovenia,,1,1983,
Spain,10.6640122,1,1983,10.6640122
Sweden,41.012031999999998,1,1983,41.012032
Switzerland,14.8005706,1,1983,14.8005706
Turkey,-10,1,1983,0
Ukraine,-10,1,1983,0
United Kingdom,49.934800600000003,1,1983,49.9348006
Azerbaijan,,1,1983,
Belarus,,1,1983,
Kazakhstan,,1,1983,
Russian Federation,,1,1983,
Turkmenistan,,1,1983,
USSR,111.3953964,1,1983,111.3953964
Uzbekistan,,1,1983,
Iran,-10,1,1983,0
Iraq,-10,1,1983,0
Israel,-10,1,1983,0
Kuwait,-10,1,1983,0
Oman,-10,1,1983,0
Qatar,-10,1,1983,0
Saudi Arabia,-10,1,1983,0
United Arab Emirates,-10,1,1983,0
Algeria,-10,1,1983,0
Egypt,-10,1,1983,0
Morocco,-10,1,1983,0
South Africa,-10,1,1983,0
Eastern Africa,-10,1,1983,0
Australia,-10,1,1983,0
Bangladesh,-10,1,1983,0
China,-10,1,1983,0
Hong Kong SAR,-10,1,1983,0
India,3.0759023999999999,1,1983,3.0759024
Indonesia,-10,1,1983,0
Japan,108.7879504,1,1983,108.7879504
Malaysia,-10,1,1983,0
New Zealand,-10,1,1983,0
Pakistan,0.27400279999999999,1,1983,0.2740028
Philippines,-10,1,1983,0
Singapore,-10,1,1983,0
South Korea,8.9650579999999991,1,1983,8.965058
Sri Lanka,-10,1,1983,0
Taiwan,18.903699,1,1983,18.903699
Thailand,-10,1,1983,0
Vietnam,-10,1,1983,0
Canada,52.2196304,1,1984,52.2196304
Mexico,-10,1,1984,0
US,344.87741999999997,1,1984,344.87742
Argentina,4.5873372000000003,1,1984,4.5873372
Brazil,1.643,1,1984,1.643
Chile,-10,1,1984,0
Colombia,-10,1,1984,0
Ecuador,-10,1,1984,0
Peru,-10,1,1984,0
Trinidad and Tobago,-10,1,1984,0
Venezuela,-10,1,1984,0
Austria,-10,1,1984,0
Belgium,27.742999999999999,1,1984,27.743
Bulgaria,12.736710800000001,1,1984,12.7367108
Croatia,,1,1984,
Cyprus,-10,1,1984,0
Czech Republic,-10,1,1984,0
Denmark,-10,1,1984,0
Estonia,,1,1984,
Finland,18.73578947,1,1984,18.73578947
France,191.23400000000001,1,1984,191.234
Germany,104.33761459999999,1,1984,104.3376146
Greece,-10,1,1984,0
Hungary,3.7697482,1,1984,3.7697482
Iceland,-10,1,1984,0
Ireland,-10,1,1984,0
Italy,6.6777134,1,1984,6.6777134
Latvia,,1,1984,
Lithuania,,1,1984,
Luxembourg,-10,1,1984,0
Netherlands,3.4559708000000002,1,1984,3.4559708
North Macedonia,,1,1984,
Norway,-10,1,1984,0
Poland,-10,1,1984,0
Portugal,-10,1,1984,0
Romania,-10,1,1984,0
Slovakia,7.2433965999999996,1,1984,7.2433966
Slovenia,,1,1984,
Spain,23.091365,1,1984,23.091365
Sweden,50.933585000000001,1,1984,50.933585
Switzerland,17.4080166,1,1984,17.4080166
Turkey,-10,1,1984,0
Ukraine,-10,1,1984,0
United Kingdom,53.991809799999999,1,1984,53.9918098
Azerbaijan,,1,1984,
Belarus,,1,1984,
Kazakhstan,,1,1984,
Russian Federation,,1,1984,
Turkmenistan,,1,1984,
USSR,143.7984372,1,1984,143.7984372
Uzbekistan,,1,1984,
Iran,-10,1,1984,0
Iraq,-10,1,1984,0
Israel,-10,1,1984,0
Kuwait,-10,1,1984,0
Oman,-10,1,1984,0
Qatar,-10,1,1984,0
Saudi Arabia,-10,1,1984,0
United Arab Emirates,-10,1,1984,0
Algeria,-10,1,1984,0
Egypt,-10,1,1984,0
Morocco,-10,1,1984,0
South Africa,3.9249999999999998,1,1984,3.925
Eastern Africa,-10,1,1984,0
Australia,-10,1,1984,0
Bangladesh,-10,1,1984,0
China,-10,1,1984,0
Hong Kong SAR,-10,1,1984,0
India,4.0393315999999997,1,1984,4.0393316
Indonesia,-10,1,1984,0
Japan,126.7395532,1,1984,126.7395532
Malaysia,-10,1,1984,0
New Zealand,-10,1,1984,0
Pakistan,0.331455,1,1984,0.331455
Philippines,-10,1,1984,0
Singapore,-10,1,1984,0
South Korea,11.792059,1,1984,11.792059
Sri Lanka,-10,1,1984,0
Taiwan,24.588946,1,1984,24.588946
Thailand,-10,1,1984,0
Vietnam,-10,1,1984,0
Canada,60.528102400000002,1,1985,60.5281024
Mexico,-10,1,1985,0
US,403.88497580000001,1,1985,403.8849758
Argentina,5.7673170000000002,1,1985,5.767317
Brazil,3.3810000000000002,1,1985,3.381
Chile,-10,1,1985,0
Colombia,-10,1,1985,0
Ecuador,-10,1,1985,0
Peru,-10,1,1985,0
Trinidad and Tobago,-10,1,1985,0
Venezuela,-10,1,1985,0
Austria,-10,1,1985,0
Belgium,34.600999999999999,1,1985,34.601
Bulgaria,13.134456800000001,1,1985,13.1344568
Croatia,,1,1985,
Cyprus,-10,1,1985,0
Czech Republic,2.3953148,1,1985,2.3953148
Denmark,-10,1,1985,0
Estonia,-10,1,1985,0
Finland,18.92631579,1,1985,18.92631579
France,224.09999999999999,1,1985,224.1
Germany,138.66309440000001,1,1985,138.6630944
Greece,-10,1,1985,0
Hungary,6.4832597999999999,1,1985,6.4832598
Iceland,-10,1,1985,0
Ireland,-10,1,1985,0
Italy,7.0224266000000002,1,1985,7.0224266
Latvia,-10,1,1985,0
Lithuania,9.4796130000000005,1,1985,9.479613
Luxembourg,-10,1,1985,0
Netherlands,3.8979108,1,1985,3.8979108
North Macedonia,,1,1985,
Norway,-10,1,1985,0
Poland,-10,1,1985,0
Portugal,-10,1,1985,0
Romania,-10,1,1985,0
Slovakia,9.3868056000000006,1,1985,9.3868056
Slovenia,,1,1985,
Spain,28.0455124,1,1985,28.0455124
Sweden,58.561,1,1985,58.561
Switzerland,22.401052629999999,1,1985,22.40105263
Turkey,-10,1,1985,0
Ukraine,53.3068028,1,1985,53.3068028
United Kingdom,61.1070438,1,1985,61.1070438
Azerbaijan,-10,1,1985,0
Belarus,-10,1,1985,0
Kazakhstan,-10,1,1985,0
Russian Federation,99.317176200000006,1,1985,99.3171762
Turkmenistan,-10,1,1985,0
USSR,,1,1985,
Uzbekistan,-10,1,1985,0
Iran,-10,1,1985,0
Iraq,-10,1,1985,0
Israel,-10,1,1985,0
Kuwait,-10,1,1985,0
Oman,-10,1,1985,0
Qatar,-10,1,1985,0
Saudi Arabia,-10,1,1985,0
United Arab Emirates,-10,1,1985,0
Algeria,-10,1,1985,0
Egypt,-10,1,1985,0
Morocco,-10,1,1985,0
South Africa,5.3150000000000004,1,1985,5.315
Eastern Africa,-10,1,1985,0
Australia,-10,1,1985,0
Bangladesh,-10,1,1985,0
China,-10,1,1985,0
Hong Kong SAR,-10,1,1985,0
India,4.5077879999999997,1,1985,4.507788
Indonesia,-10,1,1985,0
Japan,159.578,1,1985,159.578
Malaysia,-10,1,1985,0
New Zealand,-10,1,1985,0
Pakistan,0.38890720000000001,1,1985,0.3889072
Philippines,-10,1,1985,0
Singapore,-10,1,1985,0
South Korea,16.745341,1,1985,16.745341
Sri Lanka,-10,1,1985,0
Taiwan,28.726739999999999,1,1985,28.72674
Thailand,-10,1,1985,0
Vietnam,-10,1,1985,0
Canada,71.280502600000005,1,1986,71.2805026
Mexico,-10,1,1986,0
US,435.82954000000001,1,1986,435.82954
Argentina,5.7098648000000001,1,1986,5.7098648
Brazil,0.14399999999999999,1,1986,0.144
Chile,-10,1,1986,0
Colombia,-10,1,1986,0
Ecuador,-10,1,1986,0
Peru,-10,1,1986,0
Trinidad and Tobago,-10,1,1986,0
Venezuela,-10,1,1986,0
Austria,-10,1,1986,0
Belgium,39.393999999999998,1,1986,39.394
Bulgaria,12.073800800000001,1,1986,12.0738008
Croatia,,1,1986,
Cyprus,-10,1,1986,0
Czech Republic,6.1473854000000001,1,1986,6.1473854
Denmark,-10,1,1986,0
Estonia,-10,1,1986,0
Finland,18.94526316,1,1986,18.94526316
France,254.155,1,1986,254.155
Germany,130.5093014,1,1986,130.5093014
Greece,-10,1,1986,0
